"CODE_RPA","DESCRIPTION_RPA"
"SB-VV-A","\P 07h30-08h30 MAR. VEN. 1 AVRIL AU 1 DEC."
"SB-VW","\P 17h-18h MAR. VEN. 1 MARS AU 1 DEC."
"SB-VW-A","\P 17h-18h MAR. VEN. 1 AVRIL AU 1 DEC."
"SB-VX","\P 07h-08h MAR. VEN. 1 MARS AU 1 DEC."
"SB-VX-A","\P 07h-08h MAR. VEN. 1 AVRIL AU 1 DEC."
"SB-VY-A","\P 19h30-20h30 MAR. JEU. 1 AVRIL AU 1 DEC."
"SB-VZ-A","\P 22h-23h LUN. MER. 1 AVRIL AU 1 DEC."
"SB-WA","\P 20h-21h MAR. JEU. 1 MARS AU 1 DEC"
"SB-WA-A","\P 20h-21h MAR. JEU. 1 AVRIL AU 1 DEC"
"SB-WB-A","\P 21h30-22h30 MAR. JEU. 1 AVRIL AU 1 DEC."
"SB-WC-A","\P 22h-23h MAR. JEU. 1 AVRIL AU 1 DEC."
"SB-WD-A","\P 17H-18H30 LUN. JEU. 1 AVRIL AU 1 DEC."
"SC-AA","\P 06h-07h LUN. MER. VEN. SAM. 1 AVRIL AU 1 DEC."
"SC-AB","\P 07h-08h LUN. MER. VEN. SAM. 1 AVRIL AU 1 DEC."
"SC-JA","\P 09h-17h MAR. MER. VEN. SAM. DIM."
"SC-JC","\P 08h-18h MAR. MER. VEN. SAM."
"SC-JD","\P 08h-16h MAR. MER. JEU. VEN."
"SC-JE","\P 09h-17h LUN, MAR, JEU, VEN"
"SC-JF","\P 9h-21h MAR. JEU. SAM. DIM"
"SD-AB","\P 06h-07h 1 MARS AU 1 DEC."
"SD-AB-A","\P 06h-07h 1 AVRIL AU 1 DEC."
"SD-AC","\P 07h30-08h30 1 MARS AU 1 DEC."
"SD-AC-A","\P 07h30-08h30 1 AVRILS AU 1 DEC."
"SD-AD","\P 07h-08h 1 MARS AU 1 DEC."
"SD-AE","\P 9h-13h"
"SD-AF","\P 09h30-13h"
"SD-AG","\P 06h30-07h30 1 MARS AU 1 DEC."
"SD-AG-A","\P 06h30-07h30 1 AVRIL AU 1 DEC."
"SD-AI","STAT. INT. 4H - 5H (1 MARS AU 1 DEC)"
"SD-AI-A","STAT. INT. 4H - 5H (1 AVRIL AU 1 DEC)"
"SD-AJ","STAT. INT. DE 5H - 7H (1 MARS AU 1 DEC)"
"SD-AJ-A","STAT. INT. DE 5H - 7H (1 AVRIL AU 1 DEC)"
"SD-AL","\P 05h-09h"
"SD-AU","\P AUX AUTOBUS"
"SD-CM","\P AUX CAMIONS"
"SD-CP","\P DANS LE CENTRE DU PARKING"
"SD-JA","\P 07h-19h"
"SD-JB","\P 08h-16h"
"SD-JC","\P 08h-17h"
"SD-JD","\P 08h-19h"
"SD-JE","\P 09h-23h"
"SD-JF","\P 09h-21h"
"SD-JG","\P 18h-23h"
"SD-JH","\P 09h-17h"
"SD-JI","\P 07h-17h"
"SD-JJ","\P 09h-21h30"
"SD-JK","\P 08h-21h30"
"SD-JL","\P 09h30-22h30"
"SD-JM","\P 09h-20h"
"SD-JN","\P 07h-24h"
"SD-JO","\P 07h-22h"
"SD-JP","\P 09h-22h30"
"SD-JQ","\P 10h-22h30"
"SD-JR","\P 09h-22h"
"SD-JS","\P 08h-22h30"
"SD-JT","\P 08h-24h"
"SD-JU","\P 09h-19h"
"SD-JY","\P 07h-16h"
"SD-NA","\P 01h-07h"
"SD-NC","\P 21h-07h"
"SD-ND","\P 17h-08h"
"SD-NE","\P 17h-09h"
"SD-NF","\P 19h-07h"
"SD-NG","\P 19h-08h"
"SD-NH","\P 18h-09h"
"SD-NI","\P 17h-07h"
"SD-NJ","\P 18h-07h"
"SD-NK","\P 23h-07h"
"SD-NL","\P 24h-06h"
"SD-NP","\P 00h-06h"
"SD-NQ","\P 19h-06h30 EXCEPTE TAXI"
"SD-OA","\P 09h-18h"
"SD-OB","\P 09h30-18h"
"SD-OC","\P 07h-18h"
"SD-OD","\P 08h-18h"
"SD-OE","\P MARS 01 A DEC. 01"
"SD-OF","\P 16 NOV. AU 14 MARS"
"SD-OG","\P 15 AVRIL AU 1 NOVEMBRE"
"SD-OH","\P 09h30-15h30"
"SD-OI","\P 1ER DECEMBRE AU 1ER MARS"
"SD-OJ","\P 07h-19h (TEMPORAIRE - PLANCHE)"
"SD-OM","\P 06h30-18h"
"SD-ON","\P 07h30-18h"
"SD-OP","\P 18h-24h LUN A VEN  +  08h-24h SAM ET DIM"
"SD-OQ","\P 1 NOV. AU 1 AVRIL   CHUTE A NEIGE"
"SD-OR","\P 1 AVRIL AU 15 NOVEMBRE"
"SD-PB","\P 13h-16h"
"SD-PE","\P 13h-21h"
"SD-RC","\P 15h-22h"
"SD-RM","\P AUX REMORQUES"
"SD-SA","\P 18h-3h"
"SD-SB","\P 21h-9h"
"SD-SP","\P 17h-24h"
"SD-SR","\P 18h-24h"
"SD-SS","\P 18h30 A 24h00"
"SD-TC","\P DEUX COTES"
"SD-TT","\P EN TOUT TEMPS"
"SD-TU","\P EN TOUT TEMPS"
"SD-TW","\P EN TOUT TEMPS (TEMPORAIRE - PANNEAU)"
"SD-VR","\P CARAVANE  HABITATION MOTORISEE  VEHICULE RECREATIF"
"SD-VZ","\P 07h-09h"
"SD-ZB","\P 09h-17h LUN."
"SD-ZD","\P 09h-17h LUN. JEU."
"SD-ZE","\P 09h-17h MAR."
"SE-JA","\P 07h30-15h JOURS D'ECOLE"
"SE-JB","\P 08h-16h JOURS D'ECOLE"
"SE-JC","\P 08h-17h LUN A VEN SEPT A JUIN"
"SE-JD","\P 07h30-16h JOURS D'ECOLE"
"SE-JE","\P 07h30-17h JOURS D'ECOLE"
"SE-JG","\P 07h-16h JOURS D'ECOLE"
"SE-JI","\P 7h30-9h 14h30-16h30 JOURS D'ECOLE"
"SE-JJ","\P 08h-14h30 JOURS D'ECOLE"
"SE-JK","\P 07h30-18h JOURS D'ECOLE"
"SE-JL","\P 07h-17h JOURS D'ECOLE"
"SE-JM","\P 08h-09h, 14h30-17h JOURS D'ECOLES"
"SE-JN","\P 08h-15h30 JOURS D'ECOLE"
"SE-JQ","\P 09h30-16h JOURS D'ECOLE"
"SE-QA","\P 07h30-08h30, 14h-15h LUN AU VEN SEPT. A JUIN"
"SE-QB","\P 07h-08h, 14h30-15h30 LUN A VEN SEPT. A JUIN"
"SL-AB","\P LIVRAISON SEULEMENT 07h-12h LUN A VEN"
"SL-AC","\P LIVRAISON SEULEMENT 07h-13h LUN A VEN"
"SL-AK","\P LIVRAISON SEULEMENT 6h-12h LUNDI A VENDREDI"
"SL-AL","\P LIVRAISON SEULEMENT 07h-11h LUN A VEN"
"SL-AM","\P LIVRAISON SEULEMENT 09h-13h LUN. AU SAM."
"SL-AN","\P LIVRAISON SEULEMENT 08h-12h LUN. AU VEN."
"SL-AQ","\P LIVRAISON SEULEMENT 09h30-12h LUN. AU VEN."
"SL-AV","\P LIVRAISON SEULEMENT 08h-11h LUN. AU VEN."
"SL-JA","\P LIVRAISON SEULEMENT 08h00-15h30 LUN. AU VEN."
"SL-JB","\P LIVRAISON SEULEMENT 08h-16h LUN. AU VEN."
"SL-JC","\P LIVRAISON SEULEMENT 08h-17h LUN. AU VEN."
"SL-JD","\P LIVRAISON SEULEMENT 08h-19h LUN. AU VEN."
"SL-JE","\P LIVRAISON SEULEMENT 07h30-13h30 30 JUIN AU 30 AOUT"
"SL-JF","\P LIVRAISON SEULEMENT 09h30-15h30 LUN. AU VEN."
"SL-JG","\P LIVRAISON SEULEMENT 08h-18h LUN A SAM"
"SL-JH","\P LIVRAISON SEULEMENT 09h-17h LUN. AU VEN."
"SL-JI","\P LIVRAISON SEULEMENT 07h-17h LUN. AU VEN."
"SL-JJ","\P LIVRAISON SEULEMENT 07h-17h LUN. AU SAM."
"SL-JK","\P LIVRAISON SEULEMENT 07h-18h LUN. AU VEN."
"SL-JL","\P LIVRAISON SEULEMENT 07h-18h LUN. AU SAM."
"SL-JM","\P LIVRAISON SEULEMENT 09h-17h LUN A SAM"
"SL-JN","\P LIVRAISON SEULEMENT 07h-16h LUN A VEN"
"SL-JO","\P LIVRAISON SEULEMENT 09h-16h LUN A VEN"
"SL-JP","\P LIVRAISON SEULEMENT 07h-19h LUN A VEN"
"SL-JQ","\P LIVRAISON SEULEMENT 09h30-16h LUN. AU VEN."
"SL-JR","\P LIVRAISON SEULEMENT 07h-15h30 LUN. A VEN."
"SL-JS","\P LIVRAISON SEULEMENT 09h30-18h LUN. AU VEN."
"SL-JT","\P LIVRAISON SEULEMENT 09h-15h30 LUN. AU VEN."
"SL-JU","\P LIVRAISON SEULEMENT 07h30-15h30 LUN A VEN"
"SL-JV","\P LIVRAISON SEULEMENT 07h-19h"
"SL-JW","\P LIVRAISON SEULEMENT 7h-15h LUN A VEN"
"SL-JY","\P LIVRAISON SEULEMENT 9h-15h LUN A VEN"
"SL-JZ","\P LIVRAISON SEULEMENT 8h-15h LUN A VEN"
"SL-KA","\P LIVRAISON SEULEMENT 09h30-19h LUN A SAM"
"SL-KB","\P 09h30-14h30 LUN AU VEN EXCEPTE LIVRAISON"
"SL-KC","\P 09h30-13h30 LUN A VEN EXCEPTE LIVRAISON"
"SL-OA","\P LIVRAISON SEULEMENT 09h-18h LUN. AU VEN."
"SL-OB","\P LIVRAISON SEULEMENT 11h-14h LUN A VEN"
"SL-PA","\P LIVRAISON SEULEMENT 13h-18h LUN. AU VEN."
"SL-PB","\P LIVRAISON SEULEMENT 13h-16h LUN. AU VEN."
"SL-PC","\P LIVRAISON SEULEMENT 12h-17h LUN. AU VEN."
"SL-PK","\P LIVRAISON SEULEMENT 13h-17h LUN. AU VEN."
"SL-PM","\P LIVRAISON SEULEMENT 13h-18h LUN. AU SAM."
"SL-SA","\P 18h-21h EXCEPTE LIVRAISON"
"SL-TT","\P LIVRAISON SEULEMENT EN TOUT TEMPS"
"SLR-143-015","JONCTION DEVANT (015)"
"SLR-D-250-1-100","SIGNAL AVANCÉ DE VOIE RÉSERVÉ - 100m"
"SLR-D-360","CHAUSSÉE CAHOTEUSE"
"SLR-DA-04","Voies convergentes et parallèles, voies convergentes (entrée par la gauche)"
"SLR-DA-05","Signal avancé de bretelle"
"SLR-DA-09","ATTENTION À NOS ENFANTS"
"SLR-DA-10","LENTEMENT SECTEUR RÉSIDENTIEL"
"SLR-DA-11","24-Dénivelation"
"SLR-DA-15","Signal avancé de fin de la quatrième voie"
"SLR-DA-22","Signal avancé d'un passage piétonnier"
"SLR-DA-25","Signal avancé arrêt (75m)"
"SLR-DA-27","Panonceau de distance (150m)"
"SLR-DA-28","Plage d'heures (6h-9h)"
"SLR-DA-29","Vous n'avez pas priorité"
"SLR-DA-31","DANGER"
"SLR-DA-33","Vitesse recommandée près d'un point 24eux (30m)"
"SLR-DA-34","Vitesse recommandée dans une voie de sortie (55)"
"SLR-DA-35","Panonceau de distance (75m)"
"SLR-DA-36","Panonceau de distance (80m)"
"SLR-DA-37","Hauteur maximum après virage à gauche (3,95m)"
"SLR-DA-38","Hauteur maximum après virage à droite (3,95m)"
"SLR-FB-1","FLÈCHE DE DIRECTION - TOUT DROIT (BLEU)"
"SLR-FB-12","FLÈCHE DE DIRECTION- AVANCÉ GAUCHE (BLEU)"
"SLR-FB-13","FLÈCHE DE DIRECTION AVANCÉ DROITE (BLEU)"
"SLR-FB-2","Flèche de direction - à gauche (bleu)"
"SLR-FB-3","Flèche de direction - à droite (bleu)"
"SLR-FB-4","FLÈCHE DE DIRECTION - OBLIQUE À DROITE (BLEU)"
"SLR-FB-5","FLÈCHE DE DIRECTION - OBLIQUE DROITE (BLEU)"
"SLR-G-13","AUTOROUTE 13  -  FOND BLEU"
"SLR-G-520","AUTOROUTE 520  -  FOND BLEU"
"SLR-GENERIQUE-BLANC","Panneau spécifique (Blanc)  Photo disponible"
"SLR-GENERIQUE-BLEU","Panneau spécifique (Bleu)  Photo disponible"
"SLR-GENERIQUE-JAUNE","Panneau spécifique (Jaune)  Photo disponible"
"SLR-GENERIQUE-ROUGE","Panneau spécifique (Rouge)  Photo disponible"
"SLR-GENERIQUE-STAT","Panneau spécifique (Stationnement)  Photo disponible"
"SLR-GENERIQUE-VERT","Panneau spécifique (Vert)  Photo disponible"
"SLR-I-240-P-2-D-V-E","Flèche de direction oblique à droite (EST)"
"SLR-I-240-P-2-G-V-W","Flèche de direction oblique à gauche (OUEST)"
"SLR-IN-04","Port obligatoire de la ceinture de sécurité"
"SLR-IN-06","1 incitatif, metro"
"SLR-IN-07","20 de direction, aéroport (gauche)"
"SLR-IN-08","20 de direction, aéroport (oblique droit)"
"SLR-IN-09","20 de direction, aéroport (droit)"
"SLR-IN-10","20, poste de police de la Sûreté du Québec"
"SLR-IN-11","20, parking municipal (droite)"
"SLR-IN-12","20, parking municipal (gauche)"
"SLR-IN-13","20, débarcadère"
"SLR-IN-14","SANS ISSUE"
"SLR-IN-15","AIRE D'ATTENTE"
"SLR-IN-16","EXCEPTÉ CAMIONS"
"SLR-IN-17","Obligation pour les cyclistes de traverser sur le signal pour les piétons"
"SLR-IN-18","Poste de radio à syntoniser"
"SLR-IN-19","20 d'adresses civiques-VARIABLE EN REMARQUE"
"SLR-IN-20","Propriété privée"
"SLR-IN-21","1 À VOS RISQUES"
"SLR-IN-65","Plage d'adresse en croissant (575-585)"
"SLR-IN-66","Plage d'adresse en croissant (257-205)"
"SLR-IN-67","Identification de rue - Ovale blanc"
"SLR-IN-68","Identification de rue - Rectangulaire vert"
"SLR-IN-69","Identification de rue - Rectangulaire bleu"
"SLR-IN-70","Identification de rue - Ovale Jaune-Fluo (Corridor Scolaire)"
"SLR-P-070-2-100","Limite de vitesse (maximale) (100)"
"SLR-P-130-28","Accès interdit aux patineurs sur roues alignées"
"SLR-P-150-6-HZ","60 min. - 9h00 - 16h00 - LUN. à VEN. (vignette)"
"SLR-PA-01","Interdit de jouer au soccer (usage spécifique)"
"SLR-PA-02","Interdiction golf et 16"
"SLR-PA-04","Interdiction de jouer à la balle et baseball "
"SLR-PA-05","PASSAGE INTERDIT SUR CE PONT 15NOV-15AVRIL"
"SLR-PA-06","Interdiction de nourrir les animaux"
"SLR-PA-07","Interdiction de nourrir les animaux (texte)"
"SLR-PA-08","Veuillez garder ce lieu popre pour le bénéfice des autres utilisateurs"
"SLR-PA-09","Please keep this area clean for the benefit of other users"
"SLR-PA-10","Entreposage de neige interdit"
"SLR-PA-11","Interdiction de 'barbecue'"
"SLR-PA-12","24-Glace mince"
"SLR-PA-13","24 GLACE MINCE-DÉFENSE DE PATINER ET DE PASSER (bilingue)"
"SLR-PR-02","Toutes Directions"
"SLR-PR-06","ENTRÉE VÉHICULE D'URGENCE (tout droit)"
"SLR-PR-08","Direction des voies (tout droit ou à gauche ou à droite)"
"SLR-PR-09","Direction des voies (à gauche, à gauche, tout droit, tout droit, à droite)"
"SLR-PR-10","Direction des voies (à gauche, à gauche, tout droit, tout droit ou à droite)"
"SLR-PR-11","Direction des voies (à gauche, à gauche ou tout droit, tout droit, à droite)"
"SLR-PR-12","GAUCHE, TOUT DROIT, TOUT DROIT, DROIT"
"SLR-PR-13","Direction des voies (à gauche, à gauche ou tout droit, tout droit, à droite)"
"SLR-PR-14","Direction des voies (à gauche, à gauche ou tout droite ou à droite, à droite)"
"SLR-PR-15","Direction des voies (tout droit, tout doit et à droite, bus) (blanc)"
"SLR-PR-16","SORTIE"
"SLR-PR-17","Direction des voies (à gauche et tout droit, à droite)"
"SLR-PR-18","Direction des voies (tout droit, tout droit et à droite, à droite)"
"SLR-PR-19","Virage interdit au feu rouge"
"SLR-PR-20","OBLIGATOIRE"
"SLR-PR-22","VIRAGE À DROITE AUTOBUS SEULEMENT"
"SLR-PR-23","2 VOIES GAUCHES OBLIGATOIRES"
"SLR-PR-24","VOIE GAUCHE OBLIGATOIRE"
"SLR-PR-25","VOIE DROITE OBLIGATOIRE"
"SLR-PR-26","ENTRÉE SEULEMENT"
"SLR-PR-33","7h à 9h LUN À VEN SAUF AUTOBUS SCOLAIRE"
"SLR-PR-35","Limite de vitesse (maximale) (10)"
"SLR-PR-36","Limite de vitesse (maximale) (15)"
"SLR-PR-38","Limite de vitesse (minimale) (60)"
"SLR-PR-39","RAPPEL"
"SLR-PR-40","Km/h"
"SLR-PR-41","10KM/H PROTÉGEZ NOS ENFANTS"
"SLR-PR-42","Limite de vitesse maximale lorsque feux activées (30km/h)"
"SLR-PR-43","LIMITE DE VITESSE 4-ÉCOLES"
"SLR-PR-44","Distance-50m"
"SLR-PR-45","Distance-100m"
"SLR-PR-46","Distance-150m"
"SLR-PR-48","Cédez le passage"
"SLR-PR-49","Sortie seulement"
"SLR-PR-50","LIVRAISON INTERDITE"
"SLR-PR-51","Amende (50$)"
"SLR-PR-52","Amende (100$)"
"SLR-PR-53","Amende (200$)"
"SLR-PR-54","Amende (500$)"
"SLR-PR-56","SAUF POMPIERS"
"SLR-PR-57","RECULEZ"
"SLR-PR-58","Passage pour piétons (sur la gauche et sur la droite)"
"SLR-PR-60","Passage pour enfants près d'un terrain de jeux (sur la gauche et sur la droite)"
"SLR-PR-61","Passage pour enfants près d'un terrain de jeux (Attention à nos enfants)"
"SLR-PR-62","Passage pour écoliers (centré)"
"SLR-PR-68","Voies réservées (autobus et taxi)"
"SLR-PR-69","FEU PRIORITAIRE BUS"
"SLR-PR-72","Zone école-Limite 30-Rappel"
"SLR-PR-73","Direction des voies (lumineux)"
"SLR-PR-80","FLÈCHE PRIORITAIRE NON OPÉRATIONNELLE DE 15H00 À 19H00"
"SLR-RA-HDC","Arrêt ou Stop (carrefour, 1 direction)"
"SLR-RH-T-2","HEURES VARIABLES 2 FOIS PAR JOUR LUNDI À VENDREDI (07-09-16-18)"
"SLR-RH-T-41","Heures variables Lundi à vendredi (15h à 18h)"
"SLR-RH-T-I-E","Heures variables Lundi à vendredi (6h à 9h)"
"SLR-SG-006","Balise de borne"
"SLR-SG-021","NON EXISTANT - VARIABLE INCOMPLET"
"SLR-SG-031-050","SIGNALE AVANCÉ ARRÊT (75m)"
"SLR-SG-040","EXCLUSIF DÉBUT (REMORQUAGE)"
"SLR-SG-041","4141 (TÉLÉPHONE REMORQUAGE EXCLUSIF)"
"SLR-SG-1000","PANNEAU NON-IDENTIFIABLE"
"SLR-SG-118","NON EXISTANT - VARIABLE INCOMPLET"
"SLR-SG-121","AIRE D'ATTENTE"
"SLR-SG-126","FIN VOIE DE LA VOIE DROITE"
"SLR-SG-130","NON EXISTANT"
"SLR-SG-154","EXCEPTÉ AUTOBUS ET VÉHICULES AUTORISÉS"
"SLR-SG-156","NON EXISTANT"
"SLR-SG-160-D-8","SORTIE À DROITE (NUMÉROTÉE) (8)"
"SLR-SG-170","SOYEZ VISIBLE"
"SLR-SG-175","EXCLUSIF (REMORQUAGE)"
"SLR-SG-176","OBSTACLE"
"SLR-SG-177","SIGNAL AVANCÉ DE DIRECTION DES VOIES ET INETRSECTION (COURBE DROITE)"
"SLR-SG-178","FIN DE PISTE CYCLABLE"
"SLR-SG-179-050","PANONCEAU DE DISTANCE VALABLE DU LUNDI AU VENDREDI, DE 15H30 À 18H30 (050m)"
"SLR-SG-179-190","PANONCEAU DE DISTANCE VALABLE DU LUNDI AU VENDREDI, DE 15H30 À 18H30 (190m)"
"SLR-ST-0","NON EXISTANT"
"SLR-ST-01","REMORQUAGE"
"SLR-ST-02","REMORQUAGE À VOS FRAIS"
"SLR-ST-03","EXCEPTÉ VÉHICULES AUTORISÉS"
"SLR-ST-04","EXCEPTÉ VÉHICULES COMMUNAUTO"
"SLR-ST-05","RÉSERVÉ MESSAGER"
"SLR-ST-06","ZONE DE LIVRAISON"
"SLR-ST-07","DÉBARCADÈRE SEULEMENT"
"SLR-ST-08","5 MÈTRES"
"SLR-ST-09","15 MÈTRES"
"SLR-ST-10","50 MÈTRES"
"SLR-ST-100","13H À 17H MAR JEU"
"SLR-ST-101","13H À 17H MAR JEU 15 AVR - 15 NOV"
"SLR-ST-102","15H À 17H MAR JEU"
"SLR-ST-103","18H À 24H MAR JEU"
"SLR-ST-104","MAR JEU SAM"
"SLR-ST-105","8H À 12H MAR JEU 13H À 17H LUN MER VEN"
"SLR-ST-106","8H À 12H MAR JEU 13H À 18H LUN MER VEN"
"SLR-ST-107","MAR JEU 8H À 12H LUN MER VEN 14H À 17H"
"SLR-ST-108","8H À 17H MAR JEU SAM DIM"
"SLR-ST-109","8H À 18H MAR JEU SAM"
"SLR-ST-11","6 PIEDS DE CHAQUE CÔTÉ DU TROTTOIR"
"SLR-ST-111","17H MAR À 17H MER - 17H JEU À 17H VEN - 17H SAM À 17H LUN"
"SLR-ST-112","18H MAR À 18H MER - 18H JEU À 18H VEN - 18H SAM À 18H LUN"
"SLR-ST-113","10 MIN"
"SLR-ST-114","10 MIN DÉBARCADÈRE"
"SLR-ST-115","10 MIN (pour famille)"
"SLR-ST-116","10 MIN - JOURS DE CLASSE"
"SLR-ST-117","10 MIN 7H À 17H JOURS DE CLASSE"
"SLR-ST-118","10 MIN 7H À 18H LUN À VEN"
"SLR-ST-119","DÉBARCADÈRE DE COURTE DURÉE RÉSERVÉ AUX FAMILLES AVEC JEUNES ENFANTS"
"SLR-ST-120","15 MIN JOURS DE CLASSE"
"SLR-ST-121","15 MIN EXCEPTÉ LIVRAISON"
"SLR-ST-122","15 MIN LUN À VEN"
"SLR-ST-123","15 MIN - LUN au VEN - JOURS DE CLASSE"
"SLR-ST-124","15 MIN 7H À 9H 15H À 18H JOURS DE CLASSE"
"SLR-ST-126","15 MIN 8H À 16H JOURS DE CLASSE"
"SLR-ST-127","15 MIN 8H À 17H JOURS DE CLASSE DÉBARCADÈRE"
"SLR-ST-128","30 MIN"
"SLR-ST-129","VISITEURS 30 MIN MAX"
"SLR-ST-13","SABBAT ET JOURS DE FÊTE"
"SLR-ST-131","30 MIN 8H À 22H"
"SLR-ST-132","30 MIN 8H À 18H LUN AU VEN"
"SLR-ST-133","30 MIN 8H À 18H LUN MER VEN"
"SLR-ST-134","30 MIN 9H À 16H LUN À VEN"
"SLR-ST-135","30 MIN - MAR MER VEN - 9H À 16H30 - LUN JEU - 12H À 16H30"
"SLR-ST-136","60 MIN - VISITEUR - SEULEMENT"
"SLR-ST-137","60 MIN 7H À 18H - LUN À VEN"
"SLR-ST-138","60 MIN 7H À 18H MAR JEU SAM"
"SLR-ST-139","60 MIN - 8H À 18H - LUN MER VEN"
"SLR-ST-14","EXCEPTÉ DIMANCHE ET JOURS DE FÊTE"
"SLR-ST-140","60 MIN - 8H À 18H - MAR JEU"
"SLR-ST-141","60 MIN - 9H À 16H"
"SLR-ST-142","90 MIN"
"SLR-ST-143","120 MIN RÉSERVÉ AUX USAGERS DE LA BIBLIOTHÈQUE"
"SLR-ST-144","120 MIN LUN MER VEN"
"SLR-ST-145","120 MIN 8H À 17H LUN MER VEN"
"SLR-ST-146","LUN AU VEN 120 MIN 9H À 16H"
"SLR-ST-147","120 MIN MAR JEU"
"SLR-ST-148","120 MIN 8H À 17H MAR JEU"
"SLR-ST-149","PERMISSION DE STATIONNER"
"SLR-ST-15","15 JUIN AU 1ER SEPT."
"SLR-ST-150","RÉSERVÉ INCENDIE"
"SLR-ST-151","POUR LES EMPLOYÉS SEULEMENT"
"SLR-ST-152","RÉSERVÉ BILBIOTHÈQUE"
"SLR-ST-153","ESPACE RÉSERVÉE NAVETTE CAPREIT"
"SLR-ST-154","7H À 13H DIMANCHE"
"SLR-ST-155","8H À 18H LUN MER VEN"
"SLR-ST-156","11H À 14H LUN AU VEN"
"SLR-ST-157","8H À 18H MAR JEU"
"SLR-ST-158","12H À 15H VENDREDI"
"SLR-ST-159","8H À 18H SAM DIM - MAI-JUIN"
"SLR-ST-16","RÉSERVÉ AUTOBUS 15 JUIN au 1er SEPT."
"SLR-ST-160","HANDICAPÉS - DÉBARCADÈRE (Bleu)"
"SLR-ST-161","60 MIN"
"SLR-ST-162","23H00 À 7H00 EXCEPTÉ VÉHICULES AUTORISÉS"
"SLR-ST-163","LUN MER VEN"
"SLR-ST-164","8H À 16H MARDI MERCREDI"
"SLR-ST-165","MAR JEU SAM"
"SLR-ST-166","ESPACE RÉSERVÉ MER DIM"
"SLR-ST-167","HANDICAPÉS - 120 MIN"
"SLR-ST-17","15NOV - 15AVRIL"
"SLR-ST-170","ESPACE RÉSERVÉ 7H À 8H 15H30 À 16H30"
"SLR-ST-171","120 MIN 7H00-21H00 - LUN À VEN (VIGNETTE)"
"SLR-ST-172","120 MIN - LUN 17H À MAR 17H - MER 17H À JEU 17H - VEN 17H À SAM 17H"
"SLR-ST-173","120 MIN - LUN 18H À MAR 18H - MER 18H À JEU 18H - VEN 18H À SAM 18H"
"SLR-ST-174","120 MIN - MAR 17H À MER 17H - JEU 17H À VEN 17H - SAM 17H À LUN 17H"
"SLR-ST-175","120 MIN - MAR 18H À MER 18H - JEU 18H À VEN 18H - SAM 18H À LUN 18H"
"SLR-ST-176","ZONE D'ATTENTE POUR AUTOBUS DE LA STCUM SEULEMENT"
"SLR-ST-177","ARRÊT - D'AUTOBUS"
"SLR-ST-178","ARRÊT D'AUTOBUS de 00H00 À 05H00"
"SLR-ST-179","EXCEPTÉ AUTOBUS SCOLAIRE"
"SLR-ST-18","EN TOUT TEMPS EXCEPTÉ MARDI DE 9H À 15H"
"SLR-ST-180","SAUF AUTOBUS SCOLAIRES JOURS DE CLASSE"
"SLR-ST-181","SAUF AUTOBUS JOURS DE CLASSE"
"SLR-ST-182","7H00 À 9H00 13H00 À 16H00 JOURS DE CLASSE SAUF AUTOBUS"
"SLR-ST-183","7H00 À 9H00 - 14H00 À 16H00 - SAUF AUTOBUS JOURS DE CLASSE"
"SLR-ST-184","7H00 À 9H00 - 14H00 À 16H00 - JOURS DE CLASSE"
"SLR-ST-185","7H30 À 16H30 - JOURS DE CLASSE"
"SLR-ST-186","JOURS DE CLASSE"
"SLR-ST-188","7H00 À 9H00 - 15H00 À 18H00 - LUN À VEN"
"SLR-ST-189","7H00 À 9H00 - 16H00 À 19H00 - LUN À VEN"
"SLR-ST-19","22H à 8H"
"SLR-ST-190","8H00 À 9H00 - 14H00 À 17H00 - LUN AU VEN"
"SLR-ST-191","15H00 À 18H00 - LUN À VEN"
"SLR-ST-192","16H À 19H - LUN À VEN"
"SLR-ST-193","ARRÊT D'AUTOBUS LUNDI À VENDREDI"
"SLR-ST-194","ARRÊT D'AUTOBUS 5H30 À 9H - 14H30 À 18H - LUNDI À VENDREDI"
"SLR-ST-195","ARRÊT D'AUTOBUS 5H30 À 9H30 - 14H30 À 18H30 - LUNDI À VENDREDI"
"SLR-ST-196","ARRÊT D'AUTOBUS 5H30 À 9H30 - 14H45 À 18H30 - LUNDI À VENDREDI"
"SLR-ST-197","ARRÊT D'AUTOBUS 05H30 À 10H00 LUNDI À VENDREDI"
"SLR-ST-198","POSTE D'ATTENTE AUTOBUS 6H À 9H30 LUNDI À VENDREDI"
"SLR-ST-199","ARRÊT D'AUTOBUS 7H30 À 8H30 - 14H30 À 16H LUNDI À VENDREDI"
"SLR-ST-20","EXCEPTÉ AUTOBUS SCOLAIRE"
"SLR-ST-200","8H À 19H LUN MER VEN"
"SLR-ST-201","8H À 19H MAR JEU"
"SLR-ST-202","8h à 17h LUNDI JEUDI 3 Mètres"
"SLR-ST-204","\p 08h - 12h lundi  1er mars - 1er déc"
"SLR-ST-205","\p 13h - 17h lundi 1er mars - 1er  déc"
"SLR-ST-206","\p 08h -12h mardi 1er mars - 1er déc"
"SLR-ST-207","\p 13h - 17h mardi 1er mars - 1er déc"
"SLR-ST-208","\p 08h - 12h mercredi 1er mars - 1er déc"
"SLR-ST-209","\p13h - 17h mercredi 1er mars - 1er déc"
